id,slug,name,flavor,profile,reward_range,scene,image_prompt,image_filename,image_done
39,trading_floor_after_hours,The Trading Floor After Hours,"A boutique brokerage leaves its signing terminals live overnight, and a patient hacker can move a fortune before the morning reconciliation. The network is hardened and a roaming guard checks the floor, but nobody expects the theft to be quiet keystrokes in the dark.",Electronic Hard | Physical Low | Confrontation Low | Social Medium,$1.4M – $3.4M,"A darkened brokerage trading floor, banks of dead monitors and a ticker board in stark hatch. One terminal glows alone, a privileged session still live, the focal point. A roving guard's flashlight is a small white dot. Silent, electronic, patient.","STYLE & FORMAT
Codenames-style black-and-white pen-and-ink illustration. Square 1:1 aspect ratio. High-contrast cross-hatched shading throughout. No text, no watermark. Establishing scene, no dominant human figure.

SCENE
A darkened brokerage trading floor, banks of dead monitors and a ticker board in stark hatch. One terminal glows alone, a privileged session still live, the focal point. A roving guard's flashlight is a small white dot. Silent, electronic, patient.",loc39_trading_floor_after_hours,FALSE
40,fight_night_gate,The Fight Night Gate,"A championship bout fills an arena, and the night's gate cash funnels into a count room guarded by the promoter's enforcers. The crowd is a perfect cover and a perfect trap. Get past the muscle and the cash is stacked and waiting before the bank truck arrives.",Electronic Low | Physical Medium | Confrontation Hard | Social Medium,$1.2M – $3.3M,"An arena concourse on fight night, ticket gates and a count-room door in heavy cross-hatch. Stacks of gate cash glow through a cage under a hard light; crowd-silhouettes surge in the corridor beyond. Roaring, crowded, and ringed by muscle.","STYLE & FORMAT
Codenames-style black-and-white pen-and-ink illustration. Square 1:1 aspect ratio. High-contrast cross-hatched shading throughout. No text, no watermark. Establishing scene, no dominant human figure.

SCENE
An arena concourse on fight night, ticket gates and a count-room door in heavy cross-hatch. Stacks of gate cash glow through a cage under a hard light; crowd-silhouettes surge in the corridor beyond. Roaring, crowded, and ringed by muscle.",loc40_fight_night_gate,FALSE
41,watchmakers_atelier,The Watchmaker's Atelier,"An independent master watchmaker assembles seven-figure complications to order, and a finished grand tourbillon is in his workshop awaiting its buyer. The street door is fine; the workshop vault is a fortress he built himself. One exquisite object, one impossible little door.",Electronic Medium | Physical Hard | Confrontation None | Social Low,$1.4M – $3.6M,"A master watchmaker's workshop, benches of loupes and movements in fine cross-hatch. A small purpose-built vault sits in the wall; a finished tourbillon glows on a velvet stand under a focused lamp. Exquisite, intimate, and impossibly locked.","STYLE & FORMAT
Codenames-style black-and-white pen-and-ink illustration. Square 1:1 aspect ratio. High-contrast cross-hatched shading throughout. No text, no watermark. Establishing scene, no dominant human figure.

SCENE
A master watchmaker's workshop, benches of loupes and movements in fine cross-hatch. A small purpose-built vault sits in the wall; a finished tourbillon glows on a velvet stand under a focused lamp. Exquisite, intimate, and impossibly locked.",loc41_watchmakers_atelier,FALSE
42,election_night_count,The Election Night Count,"A county election warehouse holds sealed donor war-chests and a server of blackmail-grade voter data on the chaotic night of a count. The place crawls with observers and a sheriff's detail. Walk in credentialed, beat the chain of custody, and leave the seals looking untouched.",Electronic Medium | Physical Low | Confrontation Medium | Social Hard,$1.2M – $3.3M,"A county election warehouse on count night, long tables of sealed ballot boxes and a server rack in stark hatching. A locked war-chest case glows under a work light; observer-silhouettes crowd the floor. Chaotic, watched, and chain-of-custody tight.","STYLE & FORMAT
Codenames-style black-and-white pen-and-ink illustration. Square 1:1 aspect ratio. High-contrast cross-hatched shading throughout. No text, no watermark. Establishing scene, no dominant human figure.

SCENE
A county election warehouse on count night, long tables of sealed ballot boxes and a server rack in stark hatching. A locked war-chest case glows under a work light; observer-silhouettes crowd the floor. Chaotic, watched, and chain-of-custody tight.",loc42_election_night_count,FALSE
43,surgeons_townhouse,The Surgeon's Townhouse,"A celebrity plastic surgeon keeps cash, a watch wall, and a discreet wall safe of patient blackmail in his brownstone, alarmed to the teeth. He's at a fundraiser till midnight; the housekeeper isn't. Beat the system, charm the staff, and be gone before the car returns.",Electronic Hard | Physical Medium | Confrontation None | Social Medium,$1.4M – $3.4M,"An elegant brownstone interior at night, a wall of watches and framed art in fine cross-hatch. A discreet wall safe glows behind a swung-open painting under a single lamp. An alarm keypad blinks by the door. Refined, alarmed, and quietly dirty.","STYLE & FORMAT
Codenames-style black-and-white pen-and-ink illustration. Square 1:1 aspect ratio. High-contrast cross-hatched shading throughout. No text, no watermark. Establishing scene, no dominant human figure.

SCENE
An elegant brownstone interior at night, a wall of watches and framed art in fine cross-hatch. A discreet wall safe glows behind a swung-open painting under a single lamp. An alarm keypad blinks by the door. Refined, alarmed, and quietly dirty.",loc43_surgeons_townhouse,FALSE
44,sovereign_wealth_vault,The Sovereign Wealth Vault,"A sovereign fund parks physical bearer instruments in a private bank's deep vault, behind a hardened door and a network that watches itself. The bankers are discreet and the guards are ex-military. Beat the electronics and the steel both, or don't come at all.",Electronic Hard | Physical Hard | Confrontation Medium | Social Low,$3.6M – $8.4M,"A private bank's deep vault, a massive hardened door and rows of bearer-instrument drawers in heavy cross-hatch. One drawer glows open under a cold hard light. Marble and steel, no clutter. Discreet, fortified, and worth a nation's ransom.","STYLE & FORMAT
Codenames-style black-and-white pen-and-ink illustration. Square 1:1 aspect ratio. High-contrast cross-hatched shading throughout. No text, no watermark. Establishing scene, no dominant human figure.

SCENE
A private bank's deep vault, a massive hardened door and rows of bearer-instrument drawers in heavy cross-hatch. One drawer glows open under a cold hard light. Marble and steel, no clutter. Discreet, fortified, and worth a nation's ransom.",loc44_sovereign_wealth_vault,FALSE
45,cartel_stash_house,The Cartel Stash House,"A drug cartel's accounting house holds walls of vacuum-sealed cash and the ledgers that name everyone. It's defended by men who shoot first and a counting room behind a steel cage. There's no talking your way out of this one — only in, fast and hard, and out faster.",Electronic Low | Physical Hard | Confrontation Hard | Social Medium,$3.6M – $8.4M,"A fortified accounting house, walls of vacuum-sealed cash bricks behind a steel cage in dense hatching. A counting table glows under a bare bulb; armed-silhouettes loom at the edges. Grim, guarded, and no way to talk your way out.","STYLE & FORMAT
Codenames-style black-and-white pen-and-ink illustration. Square 1:1 aspect ratio. High-contrast cross-hatched shading throughout. No text, no watermark. Establishing scene, no dominant human figure.

SCENE
A fortified accounting house, walls of vacuum-sealed cash bricks behind a steel cage in dense hatching. A counting table glows under a bare bulb; armed-silhouettes loom at the edges. Grim, guarded, and no way to talk your way out.",loc45_cartel_stash_house,FALSE
46,crypto_exchange_hq,The Crypto Exchange HQ,"An offshore exchange runs its hot wallets out of a hardened headquarters, guarded by the best network defense money can buy and a social-engineering policy that trusts no one. Beat the machines and beat the people, and a nine-figure float is yours in a single irreversible transaction.",Electronic Hard | Physical Low | Confrontation None | Social Hard,$3.6M – $8.6M,"A hardened exchange operations room, dark walls of trading screens and a glass server vault in stark cross-hatch. A single hardware-key terminal glows under a hard light, the focal point. Cold, electronic, and irreversibly valuable.","STYLE & FORMAT
Codenames-style black-and-white pen-and-ink illustration. Square 1:1 aspect ratio. High-contrast cross-hatched shading throughout. No text, no watermark. Establishing scene, no dominant human figure.

SCENE
A hardened exchange operations room, dark walls of trading screens and a glass server vault in stark cross-hatch. A single hardware-key terminal glows under a hard light, the focal point. Cold, electronic, and irreversibly valuable.",loc46_crypto_exchange_hq,FALSE
47,royal_jewel_tour,The Royal Jewel Tour,"A touring exhibition of crown jewels stops in the city under a security envelope built for heads of state — biometric cases, a plainclothes detail, and a hardened transport. Beat the room full of watchers and the cases themselves. History rarely sits this close to the public.",Electronic Hard | Physical Medium | Confrontation Medium | Social Hard,$3.6M – $8.6M,"A touring-exhibition hall, biometric display cases of crown jewels in fine cross-hatch under museum spotlights. The centerpiece tiara blazes brightest in a sealed case; plainclothes-silhouettes watch from the edges. Regal, sensored, and head-of-state guarded.","STYLE & FORMAT
Codenames-style black-and-white pen-and-ink illustration. Square 1:1 aspect ratio. High-contrast cross-hatched shading throughout. No text, no watermark. Establishing scene, no dominant human figure.

SCENE
A touring-exhibition hall, biometric display cases of crown jewels in fine cross-hatch under museum spotlights. The centerpiece tiara blazes brightest in a sealed case; plainclothes-silhouettes watch from the edges. Regal, sensored, and head-of-state guarded.",loc47_royal_jewel_tour,FALSE
48,defense_contractor,The Defense Contractor,"A defense firm keeps a classified guidance prototype in a secure facility ringed by armed response and an intrusion network that assumes the worst. The cleared staff are vetted and loyal. Beat the wire and beat the guards, and a foreign buyer pays a fortune for the box you carry out.",Electronic Hard | Physical Medium | Confrontation Hard | Social Low,$3.6M – $8.3M,"A secure defense facility interior, blast doors and a caged SCIF entry in heavy parallel hatching. A single classified device glows in a vault under cold light. Razor-wire silhouettes through a window. Sterile, armed, and unforgiving.","STYLE & FORMAT
Codenames-style black-and-white pen-and-ink illustration. Square 1:1 aspect ratio. High-contrast cross-hatched shading throughout. No text, no watermark. Establishing scene, no dominant human figure.

SCENE
A secure defense facility interior, blast doors and a caged SCIF entry in heavy parallel hatching. A single classified device glows in a vault under cold light. Razor-wire silhouettes through a window. Sterile, armed, and unforgiving.",loc48_defense_contractor,FALSE
49,auction_house_vault,The Auction House Vault,"The flagship auction house stores the season's consignments — old masters, rare stones, a Fabergé egg — in a basement vault between sales. The cataloguers are everywhere and the vault is no joke. Talk past the experts and crack the steel before the next viewing opens the doors.",Electronic Medium | Physical Hard | Confrontation Low | Social Hard,$3.6M – $8.6M,"A flagship auction house basement vault, crated old masters and a jeweled case in dense cross-hatch. A Fabergé egg glows in a separate temperature case under a hard light, the focal point. Steel shelving and a heavy door. Priceless and densely watched.","STYLE & FORMAT
Codenames-style black-and-white pen-and-ink illustration. Square 1:1 aspect ratio. High-contrast cross-hatched shading throughout. No text, no watermark. Establishing scene, no dominant human figure.

SCENE
A flagship auction house basement vault, crated old masters and a jeweled case in dense cross-hatch. A Fabergé egg glows in a separate temperature case under a hard light, the focal point. Steel shelving and a heavy door. Priceless and densely watched.",loc49_auction_house_vault,FALSE
50,mountain_bunker,The Mountain Bunker,"A reclusive billionaire's doomsday bunker, carved into a mountain, holds gold, art, and hard drives of secrets behind a blast door and a private security force. The approach is exposed and the air-handling is monitored. Beat the electronics, the guards, and the mountain itself.",Electronic Hard | Physical Hard | Confrontation Medium | Social Low,$4.3M – $9.1M,"A doomsday bunker carved into rock, a vast blast door half-open on stacked gold and crated art in heavy cross-hatch. Cold work-lights rake the concrete; ventilation ducts run overhead. Isolated, fortified, and buried in the mountain.","STYLE & FORMAT
Codenames-style black-and-white pen-and-ink illustration. Square 1:1 aspect ratio. High-contrast cross-hatched shading throughout. No text, no watermark. Establishing scene, no dominant human figure.

SCENE
A doomsday bunker carved into rock, a vast blast door half-open on stacked gold and crated art in heavy cross-hatch. Cold work-lights rake the concrete; ventilation ducts run overhead. Isolated, fortified, and buried in the mountain.",loc50_mountain_bunker,FALSE
